iter	Passed	Remaining
0	8	1629
1	15	1580
2	23	1521
3	26	1308
4	29	1168
5	37	1221
6	45	1245
7	52	1262
8	59	1268
9	66	1270
10	74	1274
11	81	1274
12	88	1273
13	95	1274
14	103	1272
15	105	1207
16	113	1220
17	120	1220
18	128	1220
19	135	1219
20	143	1219
21	150	1215
22	157	1211
23	164	1208
24	172	1205
25	179	1201
26	187	1201
27	195	1201
28	204	1203
29	211	1200
30	219	1195
31	221	1165
32	229	1163
33	237	1158
34	244	1152
35	251	1146
36	258	1138
37	265	1132
38	273	1127
39	280	1120
40	287	1113
41	295	1110
42	302	1104
43	309	1098
44	317	1092
45	322	1078
46	330	1074
47	337	1069
48	344	1061
49	351	1055
50	358	1048
51	366	1041
52	373	1035
53	380	1029
54	388	1024
55	395	1016
56	402	1010
57	409	1002
58	416	996
59	423	988
60	430	982
61	437	974
62	444	966
63	451	959
64	458	952
65	465	946
66	473	939
67	480	933
68	487	926
69	494	918
70	502	912
71	513	912
72	523	910
73	533	908
74	545	909
75	563	919
76	571	912
77	578	905
78	586	898
79	593	890
80	600	882
81	608	875
82	616	868
83	623	861
84	631	854
85	634	841
86	642	834
87	649	826
88	656	819
89	664	812
90	672	805
91	679	797
92	686	789
93	693	782
94	700	774
95	708	767
96	715	759
97	722	752
98	729	744
99	737	737
100	744	729
101	751	722
102	761	717
103	770	710
104	779	704
105	786	697
106	793	689
107	801	682
108	808	675
109	815	667
110	822	659
111	829	651
112	836	644
113	843	636
114	850	628
115	857	621
116	865	613
117	872	606
118	880	599
119	887	591
120	894	584
121	901	576
122	909	569
123	917	562
124	924	554
125	931	547
126	939	539
127	946	532
128	954	525
129	961	517
130	968	510
131	975	502
132	982	495
133	989	487
134	997	480
135	1004	472
136	1012	465
137	1018	457
138	1025	450
139	1033	442
140	1040	435
141	1048	428
142	1055	420
143	1063	413
144	1070	406
145	1077	398
146	1085	391
147	1092	383
148	1099	376
149	1111	370
150	1119	363
151	1126	355
152	1133	348
153	1141	340
154	1148	333
155	1155	326
156	1163	318
157	1171	311
158	1179	304
159	1188	297
160	1196	289
161	1203	282
162	1211	275
163	1219	267
164	1226	260
165	1234	252
166	1241	245
167	1249	237
168	1256	230
169	1263	223
170	1271	215
171	1280	208
172	1287	200
173	1294	193
174	1301	185
175	1309	178
176	1316	171
177	1323	163
178	1331	156
179	1338	148
180	1345	141
181	1353	133
182	1360	126
183	1368	118
184	1375	111
185	1382	104
186	1389	96
187	1397	89
188	1404	81
189	1411	74
190	1418	66
191	1426	59
192	1433	51
193	1440	44
194	1448	37
195	1455	29
196	1462	22
197	1469	14
198	1477	7
199	1484	0
